banc_id,mcns_id,label
720575941626500746,10045,walk1
720575941491992807,10056,walk2
720575941450559566,800296,IN09A002-ml
720575941613448668,800896,IN09A002-mr
720575941429526743,800685,IN09A002-fl
720575941623146186,801382,IN09A002-fr
720575941592869928,800434,IN09A002-hl
720575941508304674,800716,IN09A002-hr
720575941579867125,800245,IN02A004-l
720575941653565201,800476,IN02A004-r
720575941408568750,800012,AN19B001_b-l
720575941508609665,17757,AN19B001_b-r
720575941691706264,24133,AN19B001-l
720575941626272650,36930,AN19B001-r

