,Completed
720575940381905254,True
720575940386709331,True
720575940387110289,True
720575940389711170,True
720575940407089948,True
720575940407172406,True
720575940423635663,True
720575940455504211,True
720575940466517897,True
720575940471330221,True
720575940530053271,True
720575940532409661,True
720575940536617639,True
720575940543356738,True
720575940549049418,True
720575940552653698,True
720575940552915839,True
720575940573388013,True
720575940576446416,True
720575940598878461,True
720575940620993479,True
720575940629827171,True
720575940643564792,True
720575940645033720,True
720575940664354626,True
720575940667310383,True
720575940671284227,True
720575940712830808,True
720575940716005679,True
720575940718065503,True
720575940734458782,True
720575940739201896,True
720575940747802362,True
720575940759202728,True
720575940768048886,True
720575940782753495,True
720575940790368365,True
720575940810412780,True
720575940816048491,True
720575940824565365,True
720575940845592414,True
720575940857006153,True
720575940862294776,True
720575940874541951,True
720575940892921940,True
720575940904283578,True
720575940926161564,True
720575940933900853,True
720575940997489896,True
720575940999091146,True
720575941003800156,True
720575941016692088,True
720575941017949283,True
720575941018989929,True
720575941045288190,True
720575941047047745,True
720575941047819142,True
720575941048455492,True
720575941065141997,True
720575941071734516,True
720575941074395353,True
720575941076956631,True
720575941092647849,True
720575941106590134,True
720575941115044334,True
720575941143269191,True
720575941169842515,True
720575941171447866,True
720575941173040140,True
720575941176100655,True
720575941200956966,True
720575941206296150,True
720575941210294102,True
720575941215704637,True
720575941234868998,True
720575941242726099,True
720575941278826444,True
720575941304733258,True
720575941312076502,True
720575941315303926,True
720575941330661402,True
720575941333454302,True
720575941340259341,True
720575941345672048,True
720575941350274352,True
720575941350334256,True
720575941350352176,True
720575941350354224,True
720575941350374960,True
720575941350393904,True
720575941350395952,True
720575941350396464,True
720575941350409264,True
720575941350413360,True
720575941350420016,True
720575941350424112,True
720575941350427696,True
720575941350441008,True
720575941350441264,True
720575941350443312,True
720575941350444592,True
720575941350455344,True
720575941350471472,True
720575941350473008,True
720575941350482992,True
720575941350526512,True
720575941350528560,True
720575941350531376,True
720575941350550320,True
720575941350568496,True
720575941350569776,True
720575941350604336,True
720575941350764336,True
720575941350864758,True
720575941350878768,True
720575941350890544,True
720575941350979376,True
720575941351040048,True
720575941351040304,True
720575941351045936,True
720575941351118640,True
720575941351123760,True
720575941351164208,True
720575941351164464,True
720575941351169072,True
720575941351169840,True
720575941351170352,True
720575941351173168,True
720575941351173424,True
720575941351174704,True
720575941351178288,True
720575941351179824,True
720575941351182640,True
720575941351183664,True
720575941351188272,True
720575941351189040,True
720575941351191344,True
720575941351191856,True
720575941351206960,True
720575941351220784,True
720575941351226160,True
720575941351251248,True
720575941351260208,True
720575941351269936,True
720575941351300144,True
720575941351323440,True
720575941351325232,True
720575941351325744,True
720575941351343408,True
720575941351347760,True
720575941351350576,True
720575941351357232,True
720575941351367984,True
720575941351369520,True
720575941351371824,True
720575941351384112,True
720575941351387440,True
720575941351388464,True
720575941351388720,True
720575941351390512,True
720575941351392048,True
720575941351393840,True
720575941351394096,True
720575941351399728,True
720575941351407664,True
720575941351408688,True
720575941351421488,True
720575941351427632,True
720575941351427888,True
720575941351429936,True
720575941351431216,True
720575941351436336,True
720575941351438384,True
720575941351441200,True
720575941351444272,True
720575941351446576,True
720575941351451184,True
720575941351470128,True
720575941351471152,True
720575941351478064,True
720575941351483696,True
720575941351504944,True
720575941351505200,True
720575941351511088,True
720575941351524144,True
720575941351530032,True
720575941351536688,True
720575941351552816,True
720575941351621168,True
720575941351629104,True
720575941351652400,True
720575941351655984,True
720575941351664688,True
720575941351665712,True
720575941351666224,True
720575941351676720,True
720575941351680560,True
720575941351681072,True
720575941351686192,True
720575941351688240,True
720575941351695152,True
720575941351704624,True
720575941351711024,True
720575941351711280,True
720575941351717168,True
720575941351768112,True
720575941351775280,True
720575941351775792,True
720575941351776560,True
720575941351784496,True
720575941351797552,True
720575941351833904,True
720575941351839280,True
720575941351873072,True
720575941351882544,True
