root_id,label,name,nt_type,flow,super_class,class,sub_class,cell_type,hemilineage,nerve,connectivity_tag,side,input_synapses,output_synapses
720575941428654255,['soma in T1'; 'innervates leg'; 'innervates T1 leg'; 'soma in VNC'; 'innervates right side of body'],T1_PRONM.400,GABA,efferent,motor,leg_motor_neuron,front_leg_motor_neuron,['tergopleural_promotor_pleural_promotor_miller_28_30'],,right_dorsal_prothoracic_nerve,[],right,2364,13
720575941605019582,['innervates leg'; 'innervates T1 leg'; 'innervates right side of body'; 'soma in VNC'; 'soma in T1'],T1_PRONM.243,ACH,efferent,motor,leg_motor_neuron,front_leg_motor_neuron,['tibia_extensor_SETi'; 'SETi'; 'slow_tibia_extensor'],,right_prothoracic_leg_nerve,[],right,4529,62
720575941556297811,['soma in T1'; 'innervates leg'; 'innervates T1 leg'; 'soma in VNC'; 'innervates right side of body'],T1_PRONM.213,GABA,efferent,motor,leg_motor_neuron,front_leg_motor_neuron,['tergopleural_promotor_pleural_promotor_miller_28_30'; 'MNfl54_DProN_R'],,right_dorsal_prothoracic_nerve,[],right,4067,26
720575941590014007,['innervates leg'; 'innervates T1 leg'; 'innervates right side of body'; 'soma in VNC'],T1_PRONM.1998,,efferent,motor,leg_motor_neuron,front_leg_motor_neuron,['accessory_tibia_flexor'; 'accessory_tibia_flexor_A_out_of_bundle'],15B,right_prothoracic_leg_nerve,[],right,358,3
720575941494146176,['innervates leg'; 'innervates T1 leg'; 'innervates right side of body'],T1_PRONM.NO_CONS.57,,efferent,motor,leg_motor_neuron,front_leg_motor_neuron,['accessory_tibia_flexor'; 'accessory_tibia_flexor_B'],15B,right_prothoracic_leg_nerve,[],right,41,0
720575941564818688,['innervates leg'; 'innervates T1 leg'; 'innervates right side of body'],T1_PRONM.610,GABA,efferent,motor,leg_motor_neuron,front_leg_motor_neuron,['accessory_trochanter_flexor'],,right_prothoracic_leg_nerve,[],right,2023,10
720575941508453761,['innervates leg'; 'innervates T1 leg'; 'innervates right side of body'],T1_PRONM.116,GABA,efferent,motor,leg_motor_neuron,front_leg_motor_neuron,['trochanter_extensor'],,right_prothoracic_leg_nerve,[],right,7528,64
720575941593802373,['innervates leg'; 'innervates T1 leg'; 'innervates right side of body'],T1_PRONM.229,GABA,efferent,motor,leg_motor_neuron,front_leg_motor_neuron,['tergotrochanter_extensor'],,right_ventral_prothoracic_nerve,[],right,3699,27
720575941593843589,['innervates leg'; 'innervates T1 leg'; 'innervates right side of body'],T1_PRONM.119,GABA,efferent,motor,leg_motor_neuron,front_leg_motor_neuron,['sternotrochanter_extensor'; 'MNfl37_ProLN_R'],,right_ventral_prothoracic_nerve,[],right,7168,62
720575941551010695,['innervates leg'; 'innervates T1 leg'; 'innervates right side of body'],T1_PRONM.648,GABA,efferent,motor,leg_motor_neuron,front_leg_motor_neuron,['tibia_flexor'],,right_prothoracic_leg_nerve,[],right,1685,10
720575941571652616,['innervates leg'; 'innervates T1 leg'; 'innervates right side of body'],T1_PRONM.NO_CONS.32,,efferent,motor,leg_motor_neuron,front_leg_motor_neuron,['tarsus_depressor_B'],,right_prothoracic_leg_nerve,[],right,170,0
720575941430029449,['innervates leg'; 'innervates T1 leg'; 'innervates right side of body'],T1_PRONM.NO_CONS.50,,efferent,motor,leg_motor_neuron,front_leg_motor_neuron,['accessory_tibia_flexor'; 'accessory_tibia_flexor_B'],15B,right_prothoracic_leg_nerve,[],right,129,0
720575941499964555,['innervates leg'; 'innervates T1 leg'; 'innervates right side of body'],T1_PRONM.679,OCT,efferent,motor,leg_motor_neuron,front_leg_motor_neuron,['sternal_adductor_ProAN'],,right_prothoracic_accessory_nerve,[],right,896,3
720575941559281679,['innervates leg'; 'innervates T1 leg'; 'innervates right side of body'],T1_PRONM.NO_CONS.1,GABA,efferent,motor,leg_motor_neuron,front_leg_motor_neuron,['accessory_tibia_flexor'; 'accessory_tibia_flexor_A'],15B,right_prothoracic_leg_nerve,[],right,2912,0
720575941411709073,['innervates leg'; 'innervates T1 leg'; 'innervates right side of body'],T1_PRONM.550,ACH,efferent,motor,leg_motor_neuron,front_leg_motor_neuron,['trochanter_extensor'; 'trochanter_extensor_LinJ'],,right_prothoracic_leg_nerve,[],right,2233,10
720575941561433746,['innervates leg'; 'innervates T1 leg'; 'innervates right side of body'],T1_PRONM.804,GABA,efferent,motor,leg_motor_neuron,front_leg_motor_neuron,['tarsus_levator_D'],,right_prothoracic_leg_nerve,[],right,887,6
720575941391252886,['innervates leg'; 'innervates T1 leg'; 'innervates right side of body'],T1_PRONM.3842,GABA,efferent,motor,leg_motor_neuron,front_leg_motor_neuron,['trochanter_flexor'; 'trochanter_flexor_posterior_soma_ProAN'],,right_prothoracic_accessory_nerve,[],right,40,3
720575941504396567,['innervates leg'; 'innervates T1 leg'; 'innervates right side of body'],T1_PRONM.451,GABA,efferent,motor,leg_motor_neuron,front_leg_motor_neuron,['trochanter_flexor'; 'trochanter_flexor_VProN'],,right_ventral_prothoracic_nerve,[],right,3346,14
720575941691007896,['innervates leg'; 'innervates T1 leg'; 'innervates right side of body'],T1_PRONM.326,ACH,efferent,motor,leg_motor_neuron,front_leg_motor_neuron,['pleural_remotor_and_abductor_miller_29'],,right_prothoracic_accessory_nerve,[],right,4331,45
720575941524966169,['innervates leg'; 'innervates T1 leg'; 'innervates right side of body'],T1_PRONM.NO_CONS.34,,efferent,motor,leg_motor_neuron,front_leg_motor_neuron,['long_tendon_muscle_A'],15B,right_prothoracic_leg_nerve,[],right,161,0
720575941574013085,['innervates leg'; 'innervates T1 leg'; 'innervates right side of body'],T1_PRONM.NO_CONS.17,GABA,efferent,motor,leg_motor_neuron,front_leg_motor_neuron,['trochanter_flexor'; 'trochanter_flexor_posterior_soma_ProAN'],,right_prothoracic_accessory_nerve,[],right,790,0
720575941573215995,['innervates leg'; 'innervates T1 leg'; 'innervates right side of body'],T1_PRONM.160,GABA,efferent,motor,leg_motor_neuron,front_leg_motor_neuron,['sternal_anterior_rotator_miller_31'; 'MNfl36_VProN_R'],,right_ventral_prothoracic_nerve,[],right,6595,47
720575941631837856,['innervates leg'; 'innervates T1 leg'; 'innervates right side of body'],T1_PRONM.177,GABA,efferent,motor,leg_motor_neuron,front_leg_motor_neuron,['femur_reductor'],,right_prothoracic_leg_nerve,[],right,3885,24
720575941547393825,['innervates leg'; 'innervates T1 leg'; 'innervates right side of body'],T1_PRONM.246,ACH,efferent,motor,leg_motor_neuron,front_leg_motor_neuron,['tibia_flexor'],15B,right_prothoracic_leg_nerve,[],right,5195,16
720575941399414563,['innervates leg'; 'innervates T1 leg'; 'innervates right side of body'],T1_PRONM.561,GABA,efferent,motor,leg_motor_neuron,front_leg_motor_neuron,['trochanter_flexor'; 'trochanter_flexor_ProAN'],,right_prothoracic_accessory_nerve,[],right,2717,28
720575941592581671,['innervates leg'; 'innervates T1 leg'; 'innervates right side of body'],T1_PRONM.2101,,efferent,motor,leg_motor_neuron,front_leg_motor_neuron,['long_tendon_muscle_A'],,right_prothoracic_leg_nerve,[],right,204,3
720575941592225831,['innervates leg'; 'innervates T1 leg'; 'innervates right side of body'],T1_PRONM.203,GABA,efferent,motor,leg_motor_neuron,front_leg_motor_neuron,['tergopleural_promotor_pleural_promotor_miller_28_30'],,right_dorsal_prothoracic_nerve,[],right,4121,18
720575941560573608,['innervates leg'; 'innervates T1 leg'; 'innervates right side of body'],T1_PRONM.NO_CONS.5,,efferent,motor,leg_motor_neuron,front_leg_motor_neuron,['tarsus_depressor_retro_tarsus_depressor'],,right_prothoracic_leg_nerve,[],right,795,0
720575941579753849,['innervates leg'; 'innervates T1 leg'; 'innervates right side of body'],T1_PRONM.461,GABA,efferent,motor,leg_motor_neuron,front_leg_motor_neuron,['trochanter_flexor'; 'trochanter_flexor_VProN'],,right_ventral_prothoracic_nerve,[],right,3061,23
720575941453327785,['innervates leg'; 'innervates T1 leg'; 'innervates right side of body'],T1_PRONM.325,ACH,efferent,motor,leg_motor_neuron,front_leg_motor_neuron,['accessory_tibia_flexor'; 'accessory_tibia_flexor_C'],24B.25B,right_prothoracic_leg_nerve,[],right,2652,20
720575941559978797,['innervates leg'; 'innervates T1 leg'; 'innervates right side of body'],T1_PRONM.953,ACH,efferent,motor,leg_motor_neuron,front_leg_motor_neuron,['sternal_posterior_rotator_miller_32'],,right_prothoracic_accessory_nerve,[],right,1193,9
720575941353301552,['innervates leg'; 'innervates T1 leg'; 'innervates right side of body'],T1_PRONM.411,GABA,efferent,motor,leg_motor_neuron,front_leg_motor_neuron,['sternal_posterior_rotator_miller_32'],,right_prothoracic_accessory_nerve,[],right,3639,19
720575941501926706,['innervates leg'; 'innervates T1 leg'; 'innervates right side of body'],T1_PRONM.958,OCT,efferent,motor,leg_motor_neuron,front_leg_motor_neuron,['long_tendon_muscle_B'],,right_prothoracic_leg_nerve,[],right,1298,4
720575941452885043,['innervates leg'; 'innervates T1 leg'; 'innervates right side of body'],T1_PRONM.NO_CONS.24,,efferent,motor,leg_motor_neuron,front_leg_motor_neuron,['accessory_tibia_flexor'; 'accessory_tibia_flexor_B'],,right_prothoracic_leg_nerve,[],right,252,0
720575941488287797,['innervates leg'; 'innervates T1 leg'; 'innervates right side of body'],T1_PRONM.128,GABA,efferent,motor,leg_motor_neuron,front_leg_motor_neuron,['tibia_extensor_FETi'; 'FETi'; 'fast_tibia_extensor'],,right_prothoracic_leg_nerve,[],right,7985,83
720575941448798133,['innervates leg'; 'innervates T1 leg'; 'innervates right side of body'],T1_PRONM.180,GABA,efferent,motor,leg_motor_neuron,front_leg_motor_neuron,['femur_reductor'],,right_prothoracic_leg_nerve,[],right,5090,19
720575941527171000,['innervates leg'; 'innervates T1 leg'; 'innervates right side of body'],T1_PRONM.2408,,efferent,motor,leg_motor_neuron,front_leg_motor_neuron,['accessory_trochanter_flexor'],,right_prothoracic_leg_nerve,[],right,337,4
720575941722047290,['innervates leg'; 'innervates T1 leg'; 'innervates right side of body'],T1_PRONM.1194,GABA,efferent,motor,leg_motor_neuron,front_leg_motor_neuron,['tarsus_depressor_dipalpha_ventralU'],15B,right_prothoracic_leg_nerve,[],right,620,6
720575941549819710,['innervates leg'; 'innervates T1 leg'; 'innervates right side of body'],T1_PRONM.NO_CONS.38,,efferent,motor,leg_motor_neuron,front_leg_motor_neuron,['accessory_tibia_flexor'; 'accessory_tibia_flexor_B'],,right_prothoracic_leg_nerve,[],right,186,0
720575941595712448,['innervates leg'; 'innervates T1 leg'; 'innervates right side of body'],T1_PRONM.646,GABA,efferent,motor,leg_motor_neuron,front_leg_motor_neuron,['sternal_posterior_rotator_miller_32'],20B.21B.22B,right_prothoracic_accessory_nerve,[],right,2227,15
720575941505568069,['innervates leg'; 'innervates T1 leg'; 'innervates right side of body'],T1_PRONM.560,ACH,efferent,motor,leg_motor_neuron,front_leg_motor_neuron,['trochanter_flexor'; 'trochanter_flexor_ProAN'],24B.25B,right_prothoracic_accessory_nerve,[],right,2575,53
720575941496126793,['innervates leg'; 'innervates T1 leg'; 'innervates right side of body'],T1_PRONM.NO_CONS.45,,efferent,motor,leg_motor_neuron,front_leg_motor_neuron,['tarsus_depressor_B'],,right_prothoracic_leg_nerve,[],right,222,0
720575941608273226,['innervates leg'; 'innervates T1 leg'; 'innervates right side of body'],T1_PRONM.980,GABA,efferent,motor,leg_motor_neuron,front_leg_motor_neuron,['femur_reductor'],,right_prothoracic_leg_nerve,[],right,933,8
720575941523368779,['innervates leg'; 'innervates T1 leg'; 'innervates right side of body'],T1_PRONM.220,GABA,efferent,motor,leg_motor_neuron,front_leg_motor_neuron,['tergotrochanter_extensor'],,right_ventral_prothoracic_nerve,[],right,3950,19
720575941511197516,['innervates leg'; 'innervates T1 leg'; 'innervates right side of body'],T1_PRONM.956,GABA,efferent,motor,leg_motor_neuron,front_leg_motor_neuron,['long_tendon_muscle_B_femur'],15B,right_prothoracic_leg_nerve,[],right,896,7
720575941488203209,['innervates leg'; 'innervates T1 leg'; 'innervates right side of body'],T1_PRONM.549,GABA,efferent,motor,leg_motor_neuron,front_leg_motor_neuron,['long_tendon_muscle_B'],15B,right_prothoracic_leg_nerve,[],right,2409,12
720575941447846990,['innervates leg'; 'innervates T1 leg'; 'innervates right side of body'],T1_PRONM.1450,GABA,efferent,motor,leg_motor_neuron,front_leg_motor_neuron,['accessory_tibia_flexor'; 'accessory_tibia_flexor_A'],15B,right_prothoracic_leg_nerve,[],right,585,3
720575941450561358,['innervates leg'; 'innervates T1 leg'; 'innervates right side of body'],T1_PRONM.362,GABA,efferent,motor,leg_motor_neuron,front_leg_motor_neuron,['trochanter_flexor'; 'trochanter_flexor_ProAN'],24B.25B,right_prothoracic_accessory_nerve,[],right,3715,22
